phone_price,phone_name,phone_parameter_url,phone_brand,phone_info,phone_size,phone_x,phone_y
728,redmi 7（3gb ram/全网通） ,http://detail.zol.com.cn/1263/1262613/param.shtml,红米手机,"1520x720像素, 6.26英寸, 4000mAh, 3GB, 800万像素, 1200万像素+200万像素, 高通 骁龙632, ",6.26,720,1520
0,苹果iphone 11r（全网通） ,http://detail.zol.com.cn/1273/1272872/param.shtml,苹果手机,"2436x1125像素, 6.1英寸, 3400mAh, 4GB, 1200万像素, 双1900万像素, 苹果 A13, ",6.1,1125,2436
2298,vivo s1 pro（8gb/128gb/全网通） ,http://detail.zol.com.cn/1272/1271774/param.shtml,vivo手机,"2340x1080像素, 6.39英寸, 3700mAh, 8GB, 3200万像素, 4800万像素+800万像素+500万像素, 高通 骁龙675AIE, ",6.39,1080,2340
0,vivo x25（全网通） ,http://detail.zol.com.cn/1253/1252491/param.shtml,vivo手机,"1280x720像素, 5.99英寸, 4000mAh, 6GB, 2400万像素, 2400万像素+1600万像素, 高通 骁龙710, ",5.99,720,1280
0,小米9x（全网通） ,http://detail.zol.com.cn/1271/1270474/param.shtml,小米手机,"2340x1080像素, 6.39英寸, 3300mAh, 6GB, 1600万像素, 4800万像素+双1200万像素, 高通 骁龙675, ",6.39,1080,2340
1249,联想z6 青春版（6gb/128gb/全网通） ,http://detail.zol.com.cn/1276/1275613/param.shtml,联想手机,"2340x1080像素, 6.3英寸, 4050mAh, 6GB, 1600万像素, 1600万像素主摄像头+800万像素+500万像素, 高通 骁龙710, ",6.3,1080,2340
1158,moto z2 play（全网通） ,http://detail.zol.com.cn/1170/1169637/param.shtml,Moto手机,"1920x1080像素, 5.5英寸, 3000mAh, 4GB, 500万像素, 1200万像素, 高通 骁龙626（MSM8953 Pro）, ",5.5,1080,1920
2199,诺基亚x71（6gb/128gb/全网通） ,http://detail.zol.com.cn/1272/1271525/param.shtml,诺基亚手机,"2310x1080像素, 6.39英寸, 3500mAh, 6GB, 1600万像素, 4800万像素+800万像素广角镜头+500万像素景深镜头, 高通 骁龙660AIE, ",6.39,1080,2310
4998,vivo nex双屏版（8gb ram/全网通） ,http://detail.zol.com.cn/1257/1256894/param.shtml,vivo手机,"2340x1080像素, 6.39英寸, 3500mAh, 8GB, 1200万像素双核像素主摄（OIS）+200万像素夜视摄像头+TOF 3D立体摄像头, 高通 骁龙845, ",6.39,1080,2340
2599,黑鲨游戏手机（8gb ram/全网通） ,http://detail.zol.com.cn/1212/1211577/param.shtml,黑鲨手机,"2160x1080像素, 5.99英寸, 4000mAh, 8GB, 2000万像素, 2000万像素+1200万像素, 高通 骁龙845, ",5.99,1080,2160
1199,moto g7 plus（6gb ram/全网通） ,http://detail.zol.com.cn/1268/1267153/param.shtml,Moto手机,"2280x1080像素, 6.24英寸, 3000mAh, 6GB, 1200万像素, 1600万像素+500万像素, 高通 骁龙636, ",6.24,1080,2280
999,华为麦芒5（mla-al00/标配版/全网通） ,http://detail.zol.com.cn/1150/1149485/param.shtml,华为手机,"1920x1080像素, 5.5英寸, 3340mAh, 3GB, 800万像素, 1600万像素, 高通 骁龙625（MSM8953）, ",5.5,1080,1920
0,小米note 4（全网通） ,http://detail.zol.com.cn/1205/1204964/param.shtml,小米手机,"2560x1440像素, 5.8英寸, 6GB/8GB, 双2300万像素, 高通 骁龙845, ",5.8,1440,2560
899,联想z5s（6gb ram/全网通） ,http://detail.zol.com.cn/1247/1246887/param.shtml,联想手机,"2340x1080像素, 6.3英寸, 3300mAh, 6GB, 1600万像素, 1600万像素+800万像素+500万像素, 高通 骁龙710AIE, ",6.3,1080,2340
793,荣耀畅玩7c（4gb ram/全网通） ,http://detail.zol.com.cn/1210/1209188/param.shtml,荣耀手机,"1440x720像素, 5.99英寸, 3000mAh, 4GB, 800万像素, 1300万像素+200万像素, 高通 骁龙450, ",5.99,720,1440
666,中兴天机7 max（全网通） ,http://detail.zol.com.cn/1159/1158375/param.shtml,中兴手机,"1920x1080像素, 6英寸, 4100mAh, 4GB, 1300万像素, 双1300万像素, 高通 骁龙625（MSM8953）, ",6.0,1080,1920
0,vivo v17 pro（8gb/128gb/全网通）  ,http://detail.zol.com.cn/1291/1290915/param.shtml,vivo手机,"2400x1080像素, 6.44英寸, 4100mAh, 8GB, 3200万像素+800万像素, 4800万像素+1300万像素+800万像素+200万像素, 高通 骁龙675AIE, ",6.44,1080,2400
0,oppo a5s（全网通）  ,http://detail.zol.com.cn/1273/1272300/param.shtml,OPPO手机,"1520x720像素, 6.2英寸, 4230mAh, 4GB, 800万像素, 1300万像素+200万像素, 联发科 MT6765, ",6.2,720,1520
6999,苹果iphone xs（国际版/全网通） ,http://detail.zol.com.cn/1245/1244552/param.shtml,苹果手机,"2436x1125像素, 5.8英寸, 2658mAh, 4GB, 700万像素, 双1200万像素广角及长焦镜头, 苹果 A12, ",5.8,1125,2436
999,联想z6 青春版（6gb/64gb/全网通） ,http://detail.zol.com.cn/1276/1275612/param.shtml,联想手机,"2340x1080像素, 6.3英寸, 4050mAh, 6GB, 1600万像素, 1600万像素主摄像头+800万像素+500万像素, 高通 骁龙710, ",6.3,1080,2340
1100,vivo y93（3gb ram/全网通） ,http://detail.zol.com.cn/1254/1253432/param.shtml,vivo手机,"1520x720像素, 6.2英寸, 4030mAh, 3GB, 800万像素, 1300万像素+200万像素, 高通 Adreno439, ",6.2,720,1520
2499,oppo r17（雾光渐变色/8gb ram/全网通） ,http://detail.zol.com.cn/1230/1229193/param.shtml,OPPO手机,"2340x1080像素, 6.4英寸, 3500mAh, 8GB, 2500万像素, 1600万像素+500万像素, 高通 骁龙670, ",6.4,1080,2340
